"","year","state","CVE_GEO","population","deaths","mort_rate"
"366",1981,"Baja California Sur",3,220041,1385,0.00629428152026213
"367",1981,"Campeche",4,433207,2876,0.00663885855953389
"368",1981,"Chiapas",7,2183827,15017,0.00687646045222447
"369",1981,"Chihuahua",8,2051765,12882,0.00627849680640814
"370",1981,"Coahuila",5,1589100,9797,0.00616512491347304
"371",1981,"Colima",6,354349,2271,0.0064089358231574
"372",1981,"Durango",10,1207745,8184,0.00677626485723394
"373",1981,"Guanajuato",11,3092938,21879,0.00707385663728145
"374",1981,"Guerrero",12,2186489,17570,0.00803571387736229
"375",1981,"Hidalgo",13,1585082,12583,0.00793839056906835
"376",1981,"Jalisco",14,4483809,29254,0.00652436354893797
"377",1981,"Mexico City",9,8884076,49462,0.00556748951719909
"378",1981,"Michoacan",16,2965074,22215,0.00749222447736549
"379",1981,"Morelos",17,968431,6633,0.00684922312482769
"380",1981,"National",0,68413080,460206,0.00672687152807621
"381",1981,"Nayarit",18,739525,5214,0.00705047158649133
"382",1981,"Nuevo Leon",19,2546270,14855,0.0058340238859194
"383",1981,"Oaxaca",20,2463897,22132,0.00898251834390804
"384",1981,"Puebla",21,3454749,26837,0.00776814755572691
"385",1981,"Queretaro",22,762350,5091,0.00667803502328327
"386",1981,"Quintana Roo",23,238034,1337,0.00561684465244461
"387",1981,"San Luis Potosi",24,1715497,13210,0.0077003923644285
"388",1981,"Sinaloa",25,1877540,12720,0.00677482237395741
"389",1981,"Sonora",26,1538297,9478,0.00616135895734049
"390",1981,"State of Mexico",15,7751510,42581,0.00549325228245851
"391",1981,"Tabasco",27,1094614,7314,0.0066818074682034
"392",1981,"Tamaulipas",28,1955106,13491,0.00690039312446486
"393",1981,"Tlaxcala",29,573129,4432,0.00773298855929468
"394",1981,"Veracruz",30,5502146,41205,0.00748889615070193
"395",1981,"Yucatan",31,1094687,9406,0.00859241043330194
"396",1981,"Zacatecas",32,1159034,8623,0.00743981626078269
"397",1982,"Aguascalientes",1,554849,3234,0.00582861282979694
"398",1982,"Baja California",2,1258713,6984,0.00554852456437647
"399",1982,"Baja California Sur",3,230719,1374,0.00595529626948799
"400",1982,"Campeche",4,446081,2831,0.00634638103842127
"401",1982,"Chiapas",7,2301317,14998,0.00651713779544496
"402",1982,"Chihuahua",8,2102659,12648,0.00601524070236781
"403",1982,"Coahuila",5,1635980,9702,0.00593039034707026
"404",1982,"Colima",6,363673,2222,0.00610988442914376
"405",1982,"Durango",10,1230094,7977,0.00648487026194746
"406",1982,"Guanajuato",11,3200630,21545,0.00673148723844993
"407",1982,"Guerrero",12,2245902,17020,0.00757824695823772
"408",1982,"Hidalgo",13,1625418,12249,0.0075359076865151
"409",1982,"Jalisco",14,4596159,28674,0.00623868756498633
"410",1982,"Mexico City",9,8873290,48342,0.0054480356215113
"411",1982,"Michoacan",16,3045027,21653,0.00711093858937868
"412",1982,"Morelos",17,996244,6495,0.00651948719390029
"413",1982,"National",0,70119229,450682,0.0064273667355926
"414",1982,"Nayarit",18,752513,5087,0.00676001610603405
"415",1982,"Nuevo Leon",19,2612890,14697,0.00562480624901928
"416",1982,"Oaxaca",20,2538120,21582,0.00850314405938253
"417",1982,"Puebla",21,3546348,26167,0.00737857649615887
"418",1982,"Queretaro",22,795859,5024,0.00631267598908852
"419",1982,"Quintana Roo",23,264234,1380,0.0052226435659302
"420",1982,"San Luis Potosi",24,1755345,12832,0.00731024385519656
"421",1982,"Sinaloa",25,1920289,12397,0.00645579910107281
"422",1982,"Sonora",26,1574945,9299,0.00590433316718997
"423",1982,"State of Mexico",15,8004223,42079,0.00525709990838586
"424",1982,"Tabasco",27,1141756,7202,0.00630782759188478
"425",1982,"Tamaulipas",28,1995198,13200,0.00661588473925896
"426",1982,"Tlaxcala",29,595455,4368,0.00733556691941457
"427",1982,"Veracruz",30,5608681,39871,0.00710880151679156
"428",1982,"Yucatan",31,1128306,9176,0.00813254560376352
"429",1982,"Zacatecas",32,1178312,8373,0.00710592780180462
"430",1983,"Aguascalientes",1,576766,3234,0.00560712663367813
"431",1983,"Baja California",2,1310976,7023,0.00535707747510252
"432",1983,"Baja California Sur",3,241670,1373,0.00568130094757314
"433",1983,"Campeche",4,459057,2813,0.00612777933894919
"434",1983,"Chiapas",7,2421239,15185,0.00627158244188203
"435",1983,"Chihuahua",8,2153534,12561,0.0058327381875559
"436",1983,"Coahuila",5,1683250,9700,0.00576266151789693
"437",1983,"Colima",6,372999,2204,0.00590886302644243
"438",1983,"Durango",10,1251985,7849,0.00626924443982955
"439",1983,"Guanajuato",11,3309531,21415,0.00647070536580561
"440",1983,"Guerrero",12,2305332,16660,0.00722672482748689
"441",1983,"Hidalgo",13,1665770,12073,0.00724769926220307
"442",1983,"Jalisco",14,4708343,28420,0.00603609380200211
"443",1983,"Mexico City",9,8851689,47482,0.00536417400114261
"444",1983,"Michoacan",16,3124999,21380,0.0068416021893127
"445",1983,"Morelos",17,1024228,6454,0.00630133134419289
"446",1983,"National",0,71823529,445888,0.00620810486769593
"447",1983,"Nayarit",18,765237,5010,0.00654699132425641
"448",1983,"Nuevo Leon",19,2679973,14614,0.00545304001197027
