"","year","state","CVE_GEO","deaths"
"1356",2011,"Baja California Sur",3,2799
"1357",2011,"Campeche",4,4401
"1358",2011,"Chiapas",7,22902
"1359",2011,"Chihuahua",8,17290
"1360",2011,"Coahuila",5,14064
"1361",2011,"Colima",6,3584
"1362",2011,"Durango",10,9012
"1363",2011,"Guanajuato",11,28996
"1364",2011,"Guerrero",12,20915
"1365",2011,"Hidalgo",13,15307
"1366",2011,"Jalisco",14,40174
"1367",2011,"Mexico City",9,55130
"1368",2011,"Michoacan",16,26495
"1369",2011,"Morelos",17,10690
"1370",2011,"National",0,613657
"1371",2011,"Nayarit",18,6426
"1372",2011,"Nuevo Leon",19,24093
"1373",2011,"Oaxaca",20,24653
"1374",2011,"Puebla",21,32060
"1375",2011,"Queretaro",22,8660
"1376",2011,"Quintana Roo",23,4910
"1377",2011,"San Luis Potosi",24,15649
"1378",2011,"Sinaloa",25,15818
"1379",2011,"Sonora",26,14099
"1380",2011,"State of Mexico",15,72028
"1381",2011,"Tabasco",27,11003
"1382",2011,"Tamaulipas",28,17721
"1383",2011,"Tlaxcala",29,6224
"1384",2011,"Veracruz",30,48196
"1385",2011,"Yucatan",31,11835
"1386",2011,"Zacatecas",32,9067
"1387",2012,"Aguascalientes",1,5651
"1388",2012,"Baja California",2,13936
"1389",2012,"Baja California Sur",3,2866
"1390",2012,"Campeche",4,4581
"1391",2012,"Chiapas",7,24135
"1392",2012,"Chihuahua",8,17364
"1393",2012,"Coahuila",5,14188
"1394",2012,"Colima",6,3651
"1395",2012,"Durango",10,9154
"1396",2012,"Guanajuato",11,29522
"1397",2012,"Guerrero",12,22073
"1398",2012,"Hidalgo",13,15725
"1399",2012,"Jalisco",14,40745
"1400",2012,"Mexico City",9,54674
"1401",2012,"Michoacan",16,27006
"1402",2012,"Morelos",17,11019
"1403",2012,"National",0,627633
"1404",2012,"Nayarit",18,6540
"1405",2012,"Nuevo Leon",19,24413
"1406",2012,"Oaxaca",20,25365
"1407",2012,"Puebla",21,32996
"1408",2012,"Queretaro",22,8882
"1409",2012,"Quintana Roo",23,5151
"1410",2012,"San Luis Potosi",24,16123
"1411",2012,"Sinaloa",25,16222
"1412",2012,"Sonora",26,14286
"1413",2012,"State of Mexico",15,73957
"1414",2012,"Tabasco",27,11335
"1415",2012,"Tamaulipas",28,18143
"1416",2012,"Tlaxcala",29,6390
"1417",2012,"Veracruz",30,50134
"1418",2012,"Yucatan",31,12176
"1419",2012,"Zacatecas",32,9230
"1420",2013,"Aguascalientes",1,5852
"1421",2013,"Baja California",2,14383
"1422",2013,"Baja California Sur",3,2997
"1423",2013,"Campeche",4,4731
"1424",2013,"Chiapas",7,24869
"1425",2013,"Chihuahua",8,17723
"1426",2013,"Coahuila",5,14582
"1427",2013,"Colima",6,3746
"1428",2013,"Durango",10,9374
"1429",2013,"Guanajuato",11,30170
"1430",2013,"Guerrero",12,22620
"1431",2013,"Hidalgo",13,16220
"1432",2013,"Jalisco",14,41618
"1433",2013,"Mexico City",9,56149
"1434",2013,"Michoacan",16,27512
"1435",2013,"Morelos",17,11394
"1436",2013,"National",0,645369
"1437",2013,"Nayarit",18,6682
"1438",2013,"Nuevo Leon",19,25151
"1439",2013,"Oaxaca",20,25946
"1440",2013,"Puebla",21,33880
"1441",2013,"Queretaro",22,9203
"1442",2013,"Quintana Roo",23,5433
"1443",2013,"San Luis Potosi",24,16554
"1444",2013,"Sinaloa",25,16709
"1445",2013,"Sonora",26,14642
"1446",2013,"State of Mexico",15,76833
"1447",2013,"Tabasco",27,11680
"1448",2013,"Tamaulipas",28,18681
"1449",2013,"Tlaxcala",29,6595
"1450",2013,"Veracruz",30,51583
"1451",2013,"Yucatan",31,12448
"1452",2013,"Zacatecas",32,9409
"1453",2014,"Aguascalientes",1,6102
"1454",2014,"Baja California",2,14992
"1455",2014,"Baja California Sur",3,3158
"1456",2014,"Campeche",4,4942
"1457",2014,"Chiapas",7,25869
"1458",2014,"Chihuahua",8,18269
"1459",2014,"Coahuila",5,15127
"1460",2014,"Colima",6,3880
"1461",2014,"Durango",10,9698
"1462",2014,"Guanajuato",11,31131
"1463",2014,"Guerrero",12,23388
"1464",2014,"Hidalgo",13,16881
"1465",2014,"Jalisco",14,42896
"1466",2014,"Mexico City",9,58204
"1467",2014,"Michoacan",16,28298
"1468",2014,"Morelos",17,11883
"1469",2014,"National",0,669880
"1470",2014,"Nayarit",18,6903
