"","year","state","CVE_GEO","population"
"304",1979,"Coahuila",5,1504658
"305",1979,"Colima",6,334600
"306",1979,"Durango",10,1167135
"307",1979,"Guanajuato",11,2944326
"308",1979,"Guerrero",12,2091135
"309",1979,"Hidalgo",13,1521968
"310",1979,"Jalisco",14,4284994
"311",1979,"Mexico City",9,8638157
"312",1979,"Michoacan",16,2863080
"313",1979,"Morelos",17,905267
"314",1979,"National",0,64989707
"315",1979,"Nayarit",18,708996
"316",1979,"Nuevo Leon",19,2393727
"317",1979,"Oaxaca",20,2396421
"318",1979,"Puebla",21,3300274
"319",1979,"Queretaro",22,708844
"320",1979,"Quintana Roo",23,202605
"321",1979,"San Luis Potosi",24,1646141
"322",1979,"Sinaloa",25,1772407
"323",1979,"Sonora",26,1463464
"324",1979,"State of Mexico",15,7020994
"325",1979,"Tabasco",27,1031641
"326",1979,"Tamaulipas",28,1873313
"327",1979,"Tlaxcala",29,544583
"328",1979,"Veracruz",30,5227001
"329",1979,"Yucatan",31,1035990
"330",1979,"Zacatecas",32,1130528
"331",1980,"Aguascalientes",1,513712
"332",1980,"Baja California",2,1168135
"333",1980,"Baja California Sur",3,210326
"334",1980,"Campeche",4,418055
"335",1980,"Chiapas",7,2104632
"336",1980,"Chihuahua",8,2010669
"337",1980,"Coahuila",5,1545492
"338",1980,"Colima",6,344675
"339",1980,"Durango",10,1186880
"340",1980,"Guanajuato",11,3008206
"341",1980,"Guerrero",12,2135195
"342",1980,"Hidalgo",13,1550831
"343",1980,"Jalisco",14,4380529
"344",1980,"Mexico City",9,8803992
"345",1980,"Michoacan",16,2905010
"346",1980,"Morelos",17,938063
"347",1980,"National",0,66706088
"348",1980,"Nayarit",18,725028
"349",1980,"Nuevo Leon",19,2473203
"350",1980,"Oaxaca",20,2417421
"351",1980,"Puebla",21,3373178
"352",1980,"Queretaro",22,733477
"353",1980,"Quintana Roo",23,217601
"354",1980,"San Luis Potosi",24,1679281
"355",1980,"Sinaloa",25,1828211
"356",1980,"Sonora",26,1501207
"357",1980,"State of Mexico",15,7422034
"358",1980,"Tabasco",27,1058189
"359",1980,"Tamaulipas",28,1914583
"360",1980,"Tlaxcala",29,556335
"361",1980,"Veracruz",30,5374643
"362",1980,"Yucatan",31,1064018
"363",1980,"Zacatecas",32,1143277
"364",1981,"Aguascalientes",1,533306
"365",1981,"Baja California",2,1207456
"366",1981,"Baja California Sur",3,220041
"367",1981,"Campeche",4,433207
"368",1981,"Chiapas",7,2183827
"369",1981,"Chihuahua",8,2051765
"370",1981,"Coahuila",5,1589100
"371",1981,"Colima",6,354349
"372",1981,"Durango",10,1207745
"373",1981,"Guanajuato",11,3092938
"374",1981,"Guerrero",12,2186489
"375",1981,"Hidalgo",13,1585082
"376",1981,"Jalisco",14,4483809
"377",1981,"Mexico City",9,8884076
"378",1981,"Michoacan",16,2965074
"379",1981,"Morelos",17,968431
"380",1981,"National",0,68413080
"381",1981,"Nayarit",18,739525
"382",1981,"Nuevo Leon",19,2546270
"383",1981,"Oaxaca",20,2463897
"384",1981,"Puebla",21,3454749
"385",1981,"Queretaro",22,762350
"386",1981,"Quintana Roo",23,238034
"387",1981,"San Luis Potosi",24,1715497
"388",1981,"Sinaloa",25,1877540
"389",1981,"Sonora",26,1538297
"390",1981,"State of Mexico",15,7751510
"391",1981,"Tabasco",27,1094614
"392",1981,"Tamaulipas",28,1955106
"393",1981,"Tlaxcala",29,573129
"394",1981,"Veracruz",30,5502146
"395",1981,"Yucatan",31,1094687
"396",1981,"Zacatecas",32,1159034
"397",1982,"Aguascalientes",1,554849
"398",1982,"Baja California",2,1258713
"399",1982,"Baja California Sur",3,230719
"400",1982,"Campeche",4,446081
"401",1982,"Chiapas",7,2301317
"402",1982,"Chihuahua",8,2102659
"403",1982,"Coahuila",5,1635980
"404",1982,"Colima",6,363673
"405",1982,"Durango",10,1230094
"406",1982,"Guanajuato",11,3200630
"407",1982,"Guerrero",12,2245902
"408",1982,"Hidalgo",13,1625418
"409",1982,"Jalisco",14,4596159
"410",1982,"Mexico City",9,8873290
"411",1982,"Michoacan",16,3045027
"412",1982,"Morelos",17,996244
"413",1982,"National",0,70119229
"414",1982,"Nayarit",18,752513
"415",1982,"Nuevo Leon",19,2612890
"416",1982,"Oaxaca",20,2538120
"417",1982,"Puebla",21,3546348
"418",1982,"Queretaro",22,795859
"419",1982,"Quintana Roo",23,264234
"420",1982,"San Luis Potosi",24,1755345
"421",1982,"Sinaloa",25,1920289
"422",1982,"Sonora",26,1574945
"423",1982,"State of Mexico",15,8004223
"424",1982,"Tabasco",27,1141756
"425",1982,"Tamaulipas",28,1995198
"426",1982,"Tlaxcala",29,595455
"427",1982,"Veracruz",30,5608681
"428",1982,"Yucatan",31,1128306
"429",1982,"Zacatecas",32,1178312
"430",1983,"Aguascalientes",1,576766
"431",1983,"Baja California",2,1310976
"432",1983,"Baja California Sur",3,241670
"433",1983,"Campeche",4,459057
"434",1983,"Chiapas",7,2421239
"435",1983,"Chihuahua",8,2153534
"436",1983,"Coahuila",5,1683250
"437",1983,"Colima",6,372999
"438",1983,"Durango",10,1251985
"439",1983,"Guanajuato",11,3309531
"440",1983,"Guerrero",12,2305332
"441",1983,"Hidalgo",13,1665770
"442",1983,"Jalisco",14,4708343
"443",1983,"Mexico City",9,8851689
"444",1983,"Michoacan",16,3124999
"445",1983,"Morelos",17,1024228
"446",1983,"National",0,71823529
"447",1983,"Nayarit",18,765237
"448",1983,"Nuevo Leon",19,2679973
"449",1983,"Oaxaca",20,2612684
"450",1983,"Puebla",21,3638044
"451",1983,"Queretaro",22,830026
"452",1983,"Quintana Roo",23,291409
"453",1983,"San Luis Potosi",24,1794973
"454",1983,"Sinaloa",25,1962816
"455",1983,"Sonora",26,1611537
"456",1983,"State of Mexico",15,8259786
"457",1983,"Tabasco",27,1189689
"458",1983,"Tamaulipas",28,2034969
"459",1983,"Tlaxcala",29,618145
"460",1983,"Veracruz",30,5713576
"461",1983,"Yucatan",31,1162190
"462",1983,"Zacatecas",32,1197107
"463",1984,"Aguascalientes",1,598957
"464",1984,"Baja California",2,1364093
"465",1984,"Baja California Sur",3,252826
"466",1984,"Campeche",4,472041
"467",1984,"Chiapas",7,2543181
"468",1984,"Chihuahua",8,2204125
"469",1984,"Coahuila",5,1730735
"470",1984,"Colima",6,382322
"471",1984,"Durango",10,1273299
"472",1984,"Guanajuato",11,3419151
"473",1984,"Guerrero",12,2364424
"474",1984,"Hidalgo",13,1705875
"475",1984,"Jalisco",14,4819724
"476",1984,"Mexico City",9,8818157
"477",1984,"Michoacan",16,3204541
"478",1984,"Morelos",17,1052271
"479",1984,"National",0,73516564
"480",1984,"Nayarit",18,777627
"481",1984,"Nuevo Leon",19,2747158
"482",1984,"Oaxaca",20,2687163
"483",1984,"Puebla",21,3729296
"484",1984,"Queretaro",22,864712
"485",1984,"Quintana Roo",23,319467
"486",1984,"San Luis Potosi",24,1834165
"487",1984,"Sinaloa",25,2004962
"488",1984,"Sonora",26,1647919
"489",1984,"State of Mexico",15,8517176
"490",1984,"Tabasco",27,1238334
"491",1984,"Tamaulipas",28,2074200
"492",1984,"Tlaxcala",29,641079
"493",1984,"Veracruz",30,5816162
"494",1984,"Yucatan",31,1196144
"495",1984,"Zacatecas",32,1215278
"496",1985,"Aguascalientes",1,621445
"497",1985,"Baja California",2,1418026
"498",1985,"Baja California Sur",3,264234
"499",1985,"Campeche",4,485070
"500",1985,"Chiapas",7,2667065
"501",1985,"Chihuahua",8,2254460
"502",1985,"Coahuila",5,1778477
"503",1985,"Colima",6,391652
"504",1985,"Durango",10,1294060
"505",1985,"Guanajuato",11,3529467
"506",1985,"Guerrero",12,2423175
"507",1985,"Hidalgo",13,1745776
"508",1985,"Jalisco",14,4930269
"509",1985,"Mexico City",9,8772718
"510",1985,"Michoacan",16,3283606
"511",1985,"Morelos",17,1080386
"512",1985,"National",0,75198137
"513",1985,"Nayarit",18,789649
"514",1985,"Nuevo Leon",19,2814553
"515",1985,"Oaxaca",20,2761528
"516",1985,"Puebla",21,3820072
"517",1985,"Queretaro",22,899889
"518",1985,"Quintana Roo",23,348426
"519",1985,"San Luis Potosi",24,1872889
"520",1985,"Sinaloa",25,2046677
"521",1985,"Sonora",26,1684124
"522",1985,"State of Mexico",15,8776387
"523",1985,"Tabasco",27,1287603
"524",1985,"Tamaulipas",28,2112906
"525",1985,"Tlaxcala",29,664297
"526",1985,"Veracruz",30,5916280
"527",1985,"Yucatan",31,1230171
"528",1985,"Zacatecas",32,1232800
"529",1986,"Aguascalientes",1,644129
"530",1986,"Baja California",2,1472639
"531",1986,"Baja California Sur",3,275847
"532",1986,"Campeche",4,498055
"533",1986,"Chiapas",7,2792491
"534",1986,"Chihuahua",8,2304289
"535",1986,"Coahuila",5,1826226
"536",1986,"Colima",6,400905
"537",1986,"Durango",10,1314069
"538",1986,"Guanajuato",11,3640077
"539",1986,"Guerrero",12,2481306
"540",1986,"Hidalgo",13,1785212
"541",1986,"Jalisco",14,5039392
"542",1986,"Mexico City",9,8714467
"543",1986,"Michoacan",16,3361883
"544",1986,"Morelos",17,1108412
"545",1986,"National",0,76859641
"546",1986,"Nayarit",18,801289
"547",1986,"Nuevo Leon",19,2881753
"548",1986,"Oaxaca",20,2835405
"549",1986,"Puebla",21,3909917
"550",1986,"Queretaro",22,935501
"551",1986,"Quintana Roo",23,378224
"552",1986,"San Luis Potosi",24,1910959
"553",1986,"Sinaloa",25,2087806
"554",1986,"Sonora",26,1719919
"555",1986,"State of Mexico",15,9036446
"556",1986,"Tabasco",27,1337362
"557",1986,"Tamaulipas",28,2150836
"558",1986,"Tlaxcala",29,687716
"559",1986,"Veracruz",30,6013375
"560",1986,"Yucatan",31,1264099
"561",1986,"Zacatecas",32,1249635
"562",1987,"Aguascalientes",1,667134
