"","year","state","CVE_GEO","age","sex","population","ferty_rate"
"419",2020,"Hidalgo",13,48,"Female",19727,0.22
"420",2020,"Hidalgo",13,49,"Female",19190,0.22
"421",2020,"Jalisco",14,15,"Female",73307,12.656
"422",2020,"Jalisco",14,16,"Female",73016,12.656
"423",2020,"Jalisco",14,17,"Female",72694,12.656
"424",2020,"Jalisco",14,18,"Female",72453,12.656
"425",2020,"Jalisco",14,19,"Female",72132,12.656
"426",2020,"Jalisco",14,20,"Female",71750,21.92
"427",2020,"Jalisco",14,21,"Female",71402,21.92
"428",2020,"Jalisco",14,22,"Female",71190,21.92
"429",2020,"Jalisco",14,23,"Female",71173,21.92
"430",2020,"Jalisco",14,24,"Female",71241,21.92
"431",2020,"Jalisco",14,25,"Female",71203,20.6
"432",2020,"Jalisco",14,26,"Female",70867,20.6
"433",2020,"Jalisco",14,27,"Female",70407,20.6
"434",2020,"Jalisco",14,28,"Female",69798,20.6
"435",2020,"Jalisco",14,29,"Female",68963,20.6
"436",2020,"Jalisco",14,30,"Female",68097,15.94
"437",2020,"Jalisco",14,31,"Female",67289,15.94
"438",2020,"Jalisco",14,32,"Female",66376,15.94
"439",2020,"Jalisco",14,33,"Female",65366,15.94
"440",2020,"Jalisco",14,34,"Female",64328,15.94
"441",2020,"Jalisco",14,35,"Female",63272,8.136
"442",2020,"Jalisco",14,36,"Female",62188,8.136
"443",2020,"Jalisco",14,37,"Female",61118,8.136
"444",2020,"Jalisco",14,38,"Female",60058,8.136
"445",2020,"Jalisco",14,39,"Female",59027,8.136
"446",2020,"Jalisco",14,40,"Female",58081,2.34
"447",2020,"Jalisco",14,41,"Female",57222,2.34
"448",2020,"Jalisco",14,42,"Female",56463,2.34
"449",2020,"Jalisco",14,43,"Female",55785,2.34
"450",2020,"Jalisco",14,44,"Female",55161,2.34
"451",2020,"Jalisco",14,45,"Female",54252,0.238
"452",2020,"Jalisco",14,46,"Female",53198,0.238
"453",2020,"Jalisco",14,47,"Female",51981,0.238
"454",2020,"Jalisco",14,48,"Female",50616,0.238
"455",2020,"Jalisco",14,49,"Female",49161,0.238
"456",2020,"MCMA",33,15,"Female",167526,12.478
"457",2020,"MCMA",33,15,"Female",167526,9.566
"458",2020,"MCMA",33,15,"Female",167526,12.478
"459",2020,"MCMA",33,15,"Female",167526,12.478
"460",2020,"MCMA",33,15,"Female",167526,12.478
"461",2020,"MCMA",33,15,"Female",167526,12.478
"462",2020,"MCMA",33,15,"Female",167526,12.478
"463",2020,"MCMA",33,15,"Female",167526,12.478
"464",2020,"MCMA",33,15,"Female",167526,12.478
"465",2020,"MCMA",33,15,"Female",167526,9.566
"466",2020,"MCMA",33,15,"Female",167526,9.566
"467",2020,"MCMA",33,15,"Female",167526,12.478
"468",2020,"MCMA",33,15,"Female",167526,12.478
"469",2020,"MCMA",33,15,"Female",167526,12.478
"470",2020,"MCMA",33,15,"Female",167526,12.478
"471",2020,"MCMA",33,15,"Female",167526,12.478
"472",2020,"MCMA",33,15,"Female",167526,12.478
"473",2020,"MCMA",33,15,"Female",167526,12.478
"474",2020,"MCMA",33,15,"Female",167526,9.566
"475",2020,"MCMA",33,15,"Female",167526,12.478
"476",2020,"MCMA",33,15,"Female",167526,9.566
"477",2020,"MCMA",33,15,"Female",167526,9.566
"478",2020,"MCMA",33,15,"Female",167526,12.478
"479",2020,"MCMA",33,15,"Female",167526,12.478
"480",2020,"MCMA",33,15,"Female",167526,12.478
"481",2020,"MCMA",33,15,"Female",167526,12.478
"482",2020,"MCMA",33,15,"Female",167526,9.566
"483",2020,"MCMA",33,15,"Female",167526,12.478
"484",2020,"MCMA",33,15,"Female",167526,12.478
"485",2020,"MCMA",33,15,"Female",167526,12.478
"486",2020,"MCMA",33,15,"Female",167526,12.478
"487",2020,"MCMA",33,15,"Female",167526,12.478
"488",2020,"MCMA",33,15,"Female",167526,9.566
"489",2020,"MCMA",33,15,"Female",167526,9.566
"490",2020,"MCMA",33,15,"Female",167526,12.478
"491",2020,"MCMA",33,15,"Female",167526,12.478
"492",2020,"MCMA",33,15,"Female",167526,12.478
"493",2020,"MCMA",33,15,"Female",167526,9.566
"494",2020,"MCMA",33,15,"Female",167526,12.478
"495",2020,"MCMA",33,15,"Female",167526,12.478
